pathway	NES_GSE	FDR_GSE	logFC_BRTN	FDR_BRTN	sig_GSE	sig_BRTN	sig_ambas	categoria
HALLMARK_E2F_TARGETS	-1.843462950620455	0.00209590878604963	0.03282360565288894	8.037380935037477e-4	TRUE	TRUE	TRUE	Significativa en ambas
HALLMARK_INTERFERON_ALPHA_RESPONSE	-2.057075857682426	0.00209590878604963	0.03487167091638395	4.5373302432869455e-4	TRUE	TRUE	TRUE	Significativa en ambas
HALLMARK_MYC_TARGETS_V1	-2.0915591879621833	0.00209590878604963	0.01503375019293004	0.01120318363866366	TRUE	TRUE	TRUE	Significativa en ambas
HALLMARK_APICAL_JUNCTION	1.6104761585879084	0.0061050061050061	7.403635743105052e-5	0.9822936050574772	TRUE	FALSE	FALSE	Solo GSE241876
HALLMARK_IL2_STAT5_SIGNALING	1.6625065920025677	0.0061050061050061	0.00836818340937634	0.03952439539075148	TRUE	TRUE	TRUE	Significativa en ambas
HALLMARK_INTERFERON_GAMMA_RESPONSE	-1.6544437734694146	0.0061050061050061	0.03372420058800019	4.5373302432869455e-4	TRUE	TRUE	TRUE	Significativa en ambas
HALLMARK_UV_RESPONSE_DN	1.8030682040549884	0.0061050061050061	-0.01146004634398641	0.02153532262360206	TRUE	TRUE	TRUE	Significativa en ambas
HALLMARK_COAGULATION	1.6484574514964885	0.00753721499905784	-0.00833098195703533	0.07401768931322225	TRUE	FALSE	FALSE	Solo GSE241876
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-1.579704788314367	0.00753721499905784	-0.00464378022254769	0.26361159573227577	TRUE	FALSE	FALSE	Solo GSE241876
HALLMARK_MITOTIC_SPINDLE	1.531114139972796	0.00779666302822392	0.02108398541163901	0.00997109270240675	TRUE	TRUE	TRUE	Significativa en ambas
HALLMARK_XENOBIOTIC_METABOLISM	1.4555753112467926	0.00779666302822392	-0.00774096149205439	0.09960035093240088	TRUE	FALSE	FALSE	Solo GSE241876
HALLMARK_PROTEIN_SECRETION	1.6142290700893445	0.008110300081103	-0.01184268923155914	0.00546054414962283	TRUE	TRUE	TRUE	Significativa en ambas
HALLMARK_HEME_METABOLISM	1.4234435697227907	0.00964754309235914	-0.00626017330211687	0.03336147581009657	TRUE	TRUE	TRUE	Significativa en ambas
HALLMARK_MYOGENESIS	1.387910395222168	0.01784227429523016	-0.0168755524419383	4.5373302432869455e-4	TRUE	TRUE	TRUE	Significativa en ambas
HALLMARK_MYC_TARGETS_V2	-1.5902783034429069	0.03188288652386726	0.01359387166854323	0.07401768931322225	TRUE	FALSE	FALSE	Solo GSE241876
HALLMARK_DNA_REPAIR	-1.422610600733026	0.04921259842519684	0.00682727099695514	0.12717444263989758	TRUE	FALSE	FALSE	Solo GSE241876
HALLMARK_HYPOXIA	1.2735712979978644	0.07203895071542131	-0.00690972987104239	0.12215506300131578	FALSE	FALSE	FALSE	No significativa
HALLMARK_BILE_ACID_METABOLISM	1.35475000720712	0.08439943141435678	-0.00911807254974819	0.03420162072786438	FALSE	TRUE	FALSE	Solo BrighTNess
HALLMARK_ANDROGEN_RESPONSE	1.344622123586612	0.09128370976996504	-0.01582663849773669	3.0036412702574865e-5	FALSE	TRUE	FALSE	Solo BrighTNess
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.2265608206173275	0.11019878997407088	-0.00798868441719487	0.19866654240150344	FALSE	FALSE	FALSE	No significativa
HALLMARK_ANGIOGENESIS	1.3975583955754405	0.14299779642739932	-0.00769409073670289	0.12717444263989758	FALSE	FALSE	FALSE	No significativa
HALLMARK_G2M_CHECKPOINT	-1.2423740978543534	0.19917243083003955	0.0289356884995668	0.00167732810108527	FALSE	TRUE	FALSE	Solo BrighTNess
HALLMARK_UV_RESPONSE_UP	-1.2433648596018314	0.2087809933098645	0.00719281409192966	0.03336147581009657	FALSE	TRUE	FALSE	Solo BrighTNess
HALLMARK_COMPLEMENT	1.15105498367316	0.22970085470085472	0.00983851759346023	0.03420162072786438	FALSE	TRUE	FALSE	Solo BrighTNess
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-1.2098067828611203	0.23381620642824807	0.0063226071684815	0.1887260229137098	FALSE	FALSE	FALSE	No significativa
HALLMARK_PEROXISOME	1.15836448587426	0.28468213766835515	0.00357025903480228	0.1826066241773038	FALSE	FALSE	FALSE	No significativa
HALLMARK_PANCREAS_BETA_CELLS	-1.0920175161674843	0.6050420168067226	0.00444370914209794	0.287739709314262	FALSE	FALSE	FALSE	No significativa
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-1.0853898671499729	0.6050420168067226	-0.00542922261033388	0.168179728614537	FALSE	FALSE	FALSE	No significativa
HALLMARK_PI3K_AKT_MTOR_SIGNALING	1.0347283648600525	0.6345602084103431	0.00370030441289373	0.09960035093240088	FALSE	FALSE	FALSE	No significativa
HALLMARK_P53_PATHWAY	1.007241037740128	0.7336182336182336	-0.00252906694999076	0.3166767948446294	FALSE	FALSE	FALSE	No significativa
HALLMARK_NOTCH_SIGNALING	-0.9919477107442156	0.7617470405337182	-0.01449674098165911	0.00683407046264653	FALSE	TRUE	FALSE	Solo BrighTNess
HALLMARK_KRAS_SIGNALING_UP	0.9925310404429368	0.7652243589743589	0.00528502258112918	0.287739709314262	FALSE	FALSE	FALSE	No significativa
HALLMARK_GLYCOLYSIS	-0.9434403024006012	0.8290863705926927	-0.00575473523750206	0.1040486315514976	FALSE	FALSE	FALSE	No significativa
